relation_id,source_person_id,target_person_id,original_relation_type,standard_relation_type,raw_relation_type,llm_suggested_relation_type,final_relation_type,llm_reason,llm_confidence,display_status,relation_quality_score,relation_risk_level,context,evidence_ref,weight,source_ids,correction_reason,confidence,needs_manual_review
REL-00408,ZLH-004,ZLH-147,交游,交游,交游,,交游,,,formal,25,low,"斯著沈余译)、《石炭王》(美国辛克莱著坎人译)、《屠场》(美国辛克莱著易坎人@译)、《银盒》和《法网》(均为英国高尔斯华绿著郭沫若译)、《日本现代剧三种》(日本; 期于年月日出版。沈端先主编,作者均为左联盟员作家,创刊号发表的作品有郑伯奇《中国戏剧运动的前路》,许幸之《新兴美术运动的任务》,麦克昂(郭沫若)《; 《苍闷》,孙席珍《战场上》、《辛克莱译传》,冯宪章《梦后》、《叶山嘉树集",左联史 第18页; 左联史 第40页; 左联史 第231页; 左联史 第466页; 左联史 第711页,5,SRC-0725;SRC-0651;SRC-0726;SRC-0727;SRC-0724,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00409,ZLH-004,ZLH-150,组织隶属,同属组织,同属组织,,同属组织,,,formal,60,high,） 忆社联（许涤新） “左联”成立前后（夏衍） 中国左翼作家联盟成立的经过（阳翰笙） 关于上海闸北区文化支部（黄耀） 长念文苑战旗红（吴黎平）——我对左翼文化运动的点滴回忆 我记忆中的左联（冯润璋）,左联回忆录 第699页,1,SRC-0587,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据只能支持同属组织或共同组织关联,low,yes
REL-00410,ZLH-005,ZLH-006,组织隶属,合作,合作,,合作,,,formal,100,critical,",也是中国左翼文学运动的旗帜,潘汉年、冯雪峰、沈端先(夏衍)、阳翰笙、冯乃; 讲话。当时未作记录,数日后,由冯雪峰追记并综合鲁迅平时有关的言论整理而成,经鲁迅校阅后,在月日《荫芽月刊》1卷期发表,后收入《二心集》,鲁迅对左翼作家提出; 议的情况。出席人沈端先、鲁迅、潘汉年、冯雪峰、郑住奇、蒋光慈、冯乃超、钱松",左联词典 第102页; 左联词典 第125页; 左联词典 第128页; 左联词典 第173页; 左联词典 第269页,5,SRC-0011;SRC-0036;SRC-0014;SRC-0153;SRC-0728,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；上下文直接出现联名/共同编辑/合作动作,medium,no
REL-00411,ZLH-005,ZLH-007,组织隶属,待核验,待核验,,待核验,,,formal,100,critical,"国左翼文学运动的旗帜,潘汉年、冯雪峰、沈端先(夏衍)、阳翰笙、冯乃超、郑伯奇、钱杏邨(阿英)、田汉等都是它的组织者“和积极筹备者,瞿秋日、茅盾、丁玲、周扬等都曾; 、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆木天、杨骚、; 0年月一-1931年月。“冯雪峰年。丁玲_1932年(起讫时闭不详)。耶林年(起讫时间不峦)。阳翰笙年一年上半年。周_",左联词典 第102页; 左联词典 第104页; 左联词典 第107页; 左联词典 第168页; 左联词典 第173页,5,SRC-0011;SRC-0007;SRC-0012;SRC-0060;SRC-0153,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,low,no
REL-00412,ZLH-005,ZLH-008,组织隶属,同属组织,同属组织,,同属组织,,,formal,85,critical,"国左翼文学运动的旗帜,潘汉年、冯雪峰、沈端先(夏衍)、阳翰笙、冯乃超、郑伯奇、钱杏邨(阿英)、田汉等都是它的组织者“和积极筹备者; 如鲁迅、茅盾、瞿秋白、蒋光慈、田汉、洪深,左联诣生前已从事创作和翻译的柔石、洪灵菲、应修人、潘漠华、郑伯奇、王任叔、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周; 0年月一-1931年月。“冯雪峰年。丁玲_1932年(起讫时闭不详)。耶林年(起讫时",左联词典 第102页; 左联词典 第104页; 左联词典 第107页; 左联词典 第132页; 左联词典 第193页,5,SRC-0011;SRC-0007;SRC-0012;SRC-0054;SRC-0010,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,low,no
REL-00413,ZLH-005,ZLH-009,组织隶属,待核验,待核验,,待核验,,,formal,100,critical,"国左翼文学运动的旗帜,潘汉年、冯雪峰、沈端先(夏衍)、阳翰笙、冯乃超、郑伯奇、钱杏邨(阿英)、田汉等都是它; 石、洪灵菲、应修人、潘漠华、郑伯奇、王任叔、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆; 0年月一-1931年月。“冯雪峰年。丁玲_1932年(起讫时闭不详)。耶林年(起讫时间不峦)。阳翰笙年一年上半年。周_扬19",左联词典 第102页; 左联词典 第104页; 左联词典 第107页; 左联词典 第132页; 左联词典 第168页,5,SRC-0011;SRC-0007;SRC-0012;SRC-0054;SRC-0060,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,low,no
REL-00414,ZLH-005,ZLH-010,创作合作,创作合作,创作合作,,创作合作,,,formal,25,low,"、茅盾、瞿秋白、蒋光慈、田汉、洪深,左联诣生前已从事创作和翻译的柔石、洪灵菲、应修人、潘漠华、郑伯奇、王任叔、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡; 词由鲁迅、茅盾、丁玲、曹靖华、洛扬(汞雪峰)、奕如(夏衍),适夷联名签署.同年月,中苏两国政府恢复邦交,左联发表《中国著作家为中苏复交致苏联电》,柳亚子、鲁; 习班“,职听过鲁迅先生的演讲和冯雪峰、胡也频、戴望舒等的讲课,同年月,",左联词典 第104页; 左联词典 第132页; 左联词典 第193页; 左联词典 第300页; 左联词典 第483页,5,SRC-0007;SRC-0054;SRC-0010;SRC-0273;SRC-0151,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00415,ZLH-005,ZLH-011,组织隶属,交往,交往,,交往,,,formal,100,critical,"国左翼文学运动的旗帜,潘汉年、冯雪峰、沈端先(夏衍)、阳翰笙、冯乃超、郑伯奇、钱杏邨(阿英)、田汉等都是它的组织者“和积; 漠华、郑伯奇、王任叔、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆; 供出七鲁迅会面的地点,也供出了冯雪峰、阳翰笙、钱杏邮等的住址。同年月日南京《",左联词典 第102页; 左联词典 第104页; 左联词典 第294页; 左联词典 第300页; 左联词典 第326页,5,SRC-0011;SRC-0007;SRC-0272;SRC-0273;SRC-0684,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；上下文直接出现来访/会见/共同行动类动作,medium,no
REL-00416,ZLH-005,ZLH-012,组织隶属,待核验,待核验,,待核验,,,formal,100,critical,孪、董绍明、董每戡、董曼尼、蒋光慈、韩侍桁、韩起、韩劲风、韩日罗、程应锤、舒群、童长荣、谢冰莹、蒲风、楼适夷、雷石榆、雷石榆、路一、碧野、蔡北华、臧云远、廖沫沙; 0年月一-1931年月。“冯雪峰年。丁玲_1932年(起讫时闭不详)。耶林年(起讫时间不峦)。阳翰笙年一年上半年。周_扬19; 。出席人沈端先、鲁迅、潘汉年、冯雪峰、郑住奇、蒋光慈、冯乃超、钱松邮、标,左联词典 第104页; 左联词典 第107页; 左联词典 第128页; 左联词典 第168页; 左联词典 第278页,5,SRC-0007;SRC-0012;SRC-0014;SRC-0060;SRC-0148,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,low,no
REL-00417,ZLH-005,ZLH-013,组织隶属,待核验,待核验,,待核验,,,formal,100,critical,"国左翼文学运动的旗帜,潘汉年、冯雪峰、沈端先(夏衍)、阳翰笙、冯乃超、郑伯奇、钱杏邨(阿英; 修人、潘漠华、郑伯奇、王任叔、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆; 0年月一-1931年月。“冯雪峰年。丁玲_1932年(起讫时闭不详)。耶林年(起讫时间不峦)。阳翰笙年一年上半年。",左联词典 第102页; 左联词典 第104页; 左联词典 第107页; 左联词典 第128页; 左联词典 第139页,5,SRC-0011;SRC-0007;SRC-0012;SRC-0014;SRC-0059,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,low,no
REL-00418,ZLH-005,ZLH-014,组织隶属,同属组织,同属组织,,同属组织,,,formal,85,critical,"国左翼文学运动的旗帜,潘汉年、冯雪峰、沈端先(夏衍)、阳翰笙、冯乃超、郑伯奇、钱杏邨(阿英)、田汉; 任过左联党团书记的有下列人员;冯乃超年月一-1931年月。“冯雪峰年。丁玲_1932年(; 。出席人沈端先、鲁迅、潘汉年、冯雪峰、郑住奇、蒋光慈、冯乃超、钱松邮、标石、洪灵菲、华汉等",左联词典 第102页; 左联词典 第107页; 左联词典 第128页; 左联词典 第168页; 左联词典 第334页,5,SRC-0011;SRC-0012;SRC-0014;SRC-0060;SRC-0729,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,low,no
REL-00419,ZLH-005,ZLH-015,创作合作,创作合作,创作合作,,创作合作,,,formal,25,low,"词由鲁迅、茅盾、丁玲、曹靖华、洛扬(汞雪峰)、奕如(夏衍),适夷联名签署.同年月,中苏两国政府恢复邦交,左联发表《中国著作家为中苏复交致苏联电》,柳亚子、鲁; ───────念五烈士被害,与冯雪峰等编辑出版左联机关刊《前哨》“纪念战死者专号“,编定该刊后,鲁迅一家与雪峰一家台影留念。月日,《前晨》“纪念战死者专号; 、沙汀、谷菲(胡风)、何丹仁(冯雪峰)、沈起予、胡楣(关霹)、何左联报刊",左联词典 第132页; 左联词典 第327页; 左联词典 第483页; 左联词典 第520页; 左联词典 第563页,5,SRC-0054;SRC-0599;SRC-0151;SRC-0608;SRC-0178,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00420,ZLH-005,ZLH-016,交游,交游,交游,,交游,,,formal,25,low,",左联诣生前已从事创作和翻译的柔石、洪灵菲、应修人、潘漠华、郑伯奇、王任叔、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆; 0年月一-1931年月。“冯雪峰年。丁玲_1932年(起讫时闭不详)。耶林年(起讫时间不峦)。阳翰笙年一年上半年。周_扬19; 年月日,胡也频和李伟森、柔石、殷夫、冯铿等先后被捕,名年月?日,被国民克反动派杀害于",左联词典 第104页; 左联词典 第107页; 左联词典 第131页; 左联词典 第139页; 左联词典 第170页,5,SRC-0007;SRC-0012;SRC-0008;SRC-0059;SRC-0730,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00421,ZLH-005,ZLH-017,交游,交游,交游,,交游,,,formal,25,low,"、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆木天、杨骚、白薇等,又培养了一批思想活跃、颇具才华的文学新人如冯铿、沙汀、艾芜、欧阳山、草明、; 0年月一-1931年月。“冯雪峰年。丁玲_1932年(起讫时闭不详)。耶林年(起讫时间不峦)。阳翰笙年一年上半年。周_扬19; 。年居北京时,结识诗人胡也频,东年月《小说月报》19卷",左联词典 第104页; 左联词典 第107页; 左联词典 第131页; 左联词典 第168页; 左联词典 第193页,5,SRC-0007;SRC-0012;SRC-0008;SRC-0060;SRC-0010,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00422,ZLH-005,ZLH-018,交游,交游,交游,,交游,,,formal,25,low,"、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆木天、杨骚、白薇等,又培养了一批思想活跃、颇具才华的文学新人如冯铿、沙汀、艾芜、欧阳山、草明、; ,胡也频和李伟森、柔石、殷夫、冯铿等先后被捕,名年月?日,被国民克反动派杀害于上海龙华淞沪警备司令部,她化悲痛为力量,欧心到江西苏区去参加红军,但当组织交给她; 一集会,表示祝贺。会后,柔石、冯铿带领他和杨秀总去闸北景云里晋见鲁迅先生",左联词典 第104页; 左联词典 第131页; 左联词典 第139页; 左联词典 第251页; 左联词典 第254页,5,SRC-0007;SRC-0008;SRC-0059;SRC-0495;SRC-0271,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00423,ZLH-005,ZLH-019,创作合作,创作合作,创作合作,,创作合作,,,formal,25,low,"17日,胡也频和李伟森、柔石、殷夫、冯铿等先后被捕,名年月?日,被国民克反动派杀害于上海龙华淞沪警备司令部,她化悲痛为力量,欧心到江西苏区去参加红军,但当组织; 动。年底,鲁迅、茌眉、冯雪峰共同编辑左联机关刊(前哨》不人,传来李伟森、柔石、胡也频、冯铿,殷夫五位左翼作家被敌人杀害的消息,; 月日,李伟棠、胡也频、柔石、殷夫、冯铿位左翼作家被敌人杀害,冯雪峰等在鲁迅领导下编辑《前哨》“",左联词典 第131页; 左联词典 第251页; 左联词典 第254页; 左联词典 第295页; 左联词典 第297页,5,SRC-0008;SRC-0495;SRC-0271;SRC-0731;SRC-0732,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00424,ZLH-005,ZLH-020,创作合作,创作合作,创作合作,,创作合作,,,formal,25,low,"1931年月日,胡也频和李伟森、柔石、殷夫、冯铿等先后被捕,名年月?日,被国民克反动派杀害于上海龙华淞沪警备司令部,她化悲痛为力量,欧心到江西苏区去参加; 动。年底,鲁迅、茌眉、冯雪峰共同编辑左联机关刊(前哨》不人,传来李伟森、柔石、胡也频、冯铿,殷夫五位; 2月日下升,鲁迅偕同柔石、冯雪峰出席“上海新文学运动者的讨论会“。同年月日《萌芽月刊》1卷期发表他的短篇小说《为奴",左联词典 第131页; 左联词典 第251页; 左联词典 第295页; 左联词典 第297页; 左联词典 第300页,5,SRC-0008;SRC-0495;SRC-0731;SRC-0732;SRC-0273,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00425,ZLH-005,ZLH-021,交游,交游,交游,,交游,,,formal,25,low,"国左翼文学运动的旗帜,潘汉年、冯雪峰、沈端先(夏衍)、阳翰笙、冯乃超、郑伯奇、钱杏邨(阿英)、田汉等都是它的组织者“和积极筹备者,瞿秋日、茅盾、丁玲、周扬等都曾; 郑伯奇、王任叔、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆; 0年月一-1931年月。“冯雪峰年。丁玲_1932年(起讫时闭不详)。",左联词典 第102页; 左联词典 第104页; 左联词典 第107页; 左联词典 第123页; 左联词典 第131页,5,SRC-0011;SRC-0007;SRC-0012;SRC-0013;SRC-0008,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00426,ZLH-005,ZLH-022,地下通讯,地下通讯,地下通讯,,地下通讯,,,formal,25,low,"人类的和阶级的…(281)新人张天翼东[存目]我希望于大众文艺的中国戏剧运动的苦闷欧洲大战与文学翻_译:芥川龙之介集(日本)芥川龙之介冯涧璋泾惠渠之祸水现代中国; 、王任叔、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆; 。年夏担任党中央特派员冯雪峰的秘密交通员.同年秋,被软禁南京三年多的左翼女作家丁玲在党组织的帮助下逃离虎口,回到上海,郑育之受党组织之命去车站迎接,并",左联词典 第30页; 左联词典 第104页; 左联词典 第278页; 左联词典 第284页; 左联词典 第477页,5,SRC-0733;SRC-0007;SRC-0148;SRC-0534;SRC-0176,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00427,ZLH-005,ZLH-023,组织隶属,同属组织,同属组织,,同属组织,,,formal,85,critical,"、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆木天、杨骚、白薇等,又培养了一批思想活跃、颇具才华的文学新人如冯铿、沙汀、艾芜、欧阳山、草明、; ────东联词典信息。成员有冯雪峰、沈端先(夏卫)等,小说研究委员会左联秘书处下属单位.又称小说研究会、小说组、小说散文组。主要开展创作活动,举行作“品座谈会; 1期上。同年底,因事回上海,与冯雪峰、丁玲、周起应(周扬)等左翼作家愉快",左联词典 第104页; 左联词典 第110页; 左联词典 第282页; 左联词典 第490页; 左联词典 第520页,5,SRC-0007;SRC-0676;SRC-0734;SRC-0593;SRC-0608,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,low,no
REL-00428,ZLH-005,ZLH-024,组织隶属,同属组织,同属组织,,同属组织,,,formal,85,critical,"、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆木天、杨骚、白薇等,又培养了一批思想活跃、颇具才华的文学新人如冯铿、沙汀、艾芜、欧阳山、草明、; ────东联词典信息。成员有冯雪峰、沈端先(夏卫)等,小说研究委员会左联秘书处下属单位.又称小说研究会、小说组、小说散文组。主要开展创作活动,举行作“品座谈会; 中,她倚重鲁迅、瞿秋白、茅盾、冯雪峰等,牢记鲁迅“我们应当造出大群的新的",左联词典 第104页; 左联词典 第110页; 左联词典 第131页; 左联词典 第484页; 左联词典 第520页,5,SRC-0007;SRC-0676;SRC-0008;SRC-0634;SRC-0608,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,low,no
REL-00429,ZLH-005,ZLH-025,组织隶属,同属组织,同属组织,,同属组织,,,formal,85,critical,"、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆木天、杨骚、白薇等,又培养了一批思想活跃、颇具才华的文学新人如冯铿、沙汀、艾芜、欧阳山、草明、; 0年月一-1931年月。“冯雪峰年。丁玲_1932年(起讫时闭不详)。耶林年(起讫时间不峦)。阳翰笙年一年上半年。周_扬19; ────东联词典信息。成员有冯雪峰、沈端先(夏卫)等,小说研究委员会左",左联词典 第104页; 左联词典 第107页; 左联词典 第110页; 左联词典 第131页; 左联词典 第483页,5,SRC-0007;SRC-0012;SRC-0676;SRC-0008;SRC-0151,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,low,no
REL-00430,ZLH-005,ZLH-026,地下通讯,地下通讯,地下通讯,,地下通讯,,,formal,25,low,"、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆木天、杨骚、白薇等; 》,鱼迅、芒眉、丁玲、脱靖华、洛扬(冯雨峰)、突如(沈端先)、适夷等人签署。同年月,中苏两国政府恢复邦交,巫联发表《中国晰作家力中苏复交致苏联电》,柳亚子; 。年夏担任党中央特派员冯雪峰的秘密交通员.同年秋,被软禁南京三年多的左翼女作家丁玲在党组织的帮助下逃离虎口,回到上海,郑育之受党组织之命去车",左联词典 第104页; 左联词典 第172页; 左联词典 第278页; 左联词典 第282页; 左联词典 第284页,5,SRC-0007;SRC-0688;SRC-0148;SRC-0734;SRC-0534,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00431,ZLH-005,ZLH-027,地下通讯,地下通讯,地下通讯,,地下通讯,,,formal,25,low,"。年夏担任党中央特派员冯雪峰的秘密交通员.同年秋,被软禁南京三年多的左翼女作家丁玲在党组织的帮助下逃离虎口,回到上海,郑育之受党组织之命去车站迎接,并把; 疑态度,并未接受;巴金、胡风、萧军、萧红等团结在鲁迅周围的作家,或受鲁迅影响的许多青年作家也未接受“;“后来在《中国文艺工作者宣言》上签名的数十位作家、诗人、批; 10月参加鲁迅葬礼并任纠察,和萧军、舒群合编《报告》杂志,编辑“《夜晨》",左联词典 第278页; 左联词典 第537页; 左联词典 第637页,4,SRC-0148;SRC-0609;SRC-0735,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00432,ZLH-005,ZLH-028,地下通讯,地下通讯,地下通讯,,地下通讯,,,formal,25,low,"。年夏担任党中央特派员冯雪峰的秘密交通员.同年秋,被软禁南京三年多的左翼女作家丁玲在党组织的帮助下逃离虎口,回到上海,郑育之受党组织之命去车站迎接,并把; 遗作。刊物的出版发行极端困难,冯雪峰、楼适夷、周熙(江丰)、应修人、曾贬、孤通如等参加了它的出版发行工作。鲁迅、冯雪峰是《前哨》的主持者,刊物编完后,鲁迅全家和; ,并未接受;巴金、胡风、萧军、萧红等团结在鲁迅周围的作家,或受鲁迅影响的",左联词典 第278页; 左联词典 第501页; 左联词典 第537页; 左联词典 第674页,5,SRC-0148;SRC-0607;SRC-0609;SRC-0523,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00433,ZLH-005,ZLH-029,地下通讯,地下通讯,地下通讯,,地下通讯,,,formal,25,low,"、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆木天、杨骚、白薇等,又培养了一批思想活跃、颇具才华的文学新人如冯铿、沙汀、艾芜、欧阳山、草明、; 。年夏担任党中央特派员冯雪峰的秘密交通员.同年秋,被软禁南京三年多的左翼女作家丁玲在党组织的帮助下逃离虎口,回到上海,郑育之受党组织之命去车站迎接,并把; 1期上。同年底,因事回上海,与冯雪峰、丁玲、周起应(周扬)等左翼作家愉快",左联词典 第104页; 左联词典 第278页; 左联词典 第282页; 左联词典 第284页; 左联词典 第477页,5,SRC-0007;SRC-0148;SRC-0734;SRC-0534;SRC-0176,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00434,ZLH-005,ZLH-030,文学论战,文学论战,文学论战,,文学论战,,,formal,25,low,"1期上。同年底,因事回上海,与冯雪峰、丁玲、周起应(周扬)等左翼作家愉快相见,出席左联的会议,并写了《粉饰,歪更,铁一般的事实》一文,参加批判“第万种人“的斗争; 紫、田汉、田间、白曙、冯乃超、冯雪峰、冯锂、任白戈、任钧、阳翰笙、孙席珍、李伟森、吴奚如、应修人、沙汀、沈起子、张天翼; 大「众文学“口叶是鲁迅、茅盾、冯雪峰、朐风等共同提出,而不是胡风一个人提出的,更不是冯雪峰“为了破坏左翼作家的团结",左联词典 第282页; 左联词典 第520页; 左联词典 第537页; 左联词典 第563页; 左联词典 第643页,5,SRC-0734;SRC-0608;SRC-0609;SRC-0178;SRC-0736,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00435,ZLH-005,ZLH-031,交游,交游,交游,,交游,,,formal,25,low,"、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆木天、杨骚、白薇等,又培养了一批思想活跃、颇具才华的文学新人如冯铿、沙汀、艾芜、欧阳山、草明、; 中,她倚重鲁迅、瞿秋白、茅盾、冯雪峰等,牢记鲁迅“我们应当造出大群的新的战士“的教导,努力发现和培养了一批文学新人,如艾芜、沙汀、李辉英、芦焕、葛琴等,扩大了左; 、沙汀、谷菲(胡风)、何丹仁(冯雪峰)、沈起予、胡楣(关霹)、何左联报刊",左联词典 第104页; 左联词典 第131页; 左联词典 第483页; 左联词典 第490页; 左联词典 第563页,5,SRC-0007;SRC-0008;SRC-0151;SRC-0593;SRC-0178,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00436,ZLH-005,ZLH-032,文学论战,文学论战,文学论战,,文学论战,,,formal,25,low,"、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆木天、杨骚、白薇等,又培养了一批思想活跃、颇具才华的文学新人如冯铿、沙汀、艾芜、欧阳山、草明、; 党中央领导人张闻天、周恩来致函冯雪峰,在谈到必须反对关门主义问题时,指出:“你对周君(周扬同志)所用的方法是对的.。“对鲁迅、茅盾“为抗日救国的努力“表示“钦佩; 拉丁化新文字。同年月日,徐懋庸写信给鲁迅,信中攻击胡风,鲁,迅在《(",左联词典 第104页; 左联词典 第173页; 左联词典 第284页; 左联词典 第329页; 左联词典 第537页,5,SRC-0007;SRC-0153;SRC-0534;SRC-0689;SRC-0609,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00437,ZLH-005,ZLH-034,交游,交游,交游,,交游,,,formal,25,low,"927年底,和朱镜我,李初梨、彭康、李铁声等同时团到上海,加入创造社,成为后期创造社的生力军,1928年月,与成仿昌等创办《文化批判》杂志,倡导无产阶级革命文; 2位筹备委员名单,会议内容等,冯雪峰、夏衍、阳翰笙回忆文章提供的位筹备委员名单互有出入,主要是夏衍提出的名单中多了彭康、戴平万,作者经过比较研究,认",左联词典 第168页; 左联词典 第517页,3,SRC-0060;SRC-0693,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00438,ZLH-005,ZLH-035,组织隶属,待核验,待核验,,待核验,,,formal,100,critical,"、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆木天、杨骚、白薇等,又培养了一批思想活跃、颇具才华的文学新人如冯铿、沙汀、艾芜、欧阳山、草明、; 0年月一-1931年月。“冯雪峰年。丁玲_1932年(起讫时闭不详)。耶林年(起讫时间不峦)。阳翰笙年一年上半年。周_扬19; 中,她倚重鲁迅、瞿秋白、茅盾、冯雪峰等,牢记鲁迅“我们应当造出大群的新的",左联词典 第104页; 左联词典 第107页; 左联词典 第131页; 左联词典 第483页; 左联词典 第490页,5,SRC-0007;SRC-0012;SRC-0008;SRC-0151;SRC-0593,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,low,no
REL-00439,ZLH-005,ZLH-036,组织隶属,同属组织,同属组织,,同属组织,,,formal,105,critical,"锦明、潘漠华、潘应人、潘丙心、穆木天、戴平万、戴望舒、魏金枝、魏猛克等。左联高举反对帝国主义、反对国民克反动派和拥护苏维埃革命的战斗旗帜,努力传播马克思主义文艺; ────东联词典信息。成员有冯雪峰、沈端先(夏卫)等,小说研究委员会左联秘书处下属单位.又称小说研究会、小说组、小说散文组。主要开展创作活动,举行作“品座谈会; 雄集)(林伯修译)、《初恪〗(穆木天译)、《新俄文学中的男女》(周起应译",左联词典 第104页; 左联词典 第110页; 左联词典 第168页; 左联词典 第482页; 左联词典 第483页,5,SRC-0007;SRC-0676;SRC-0060;SRC-0613;SRC-0151,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；存在明显OCR噪声；证据只能支持同属组织或共同组织关联,low,no
REL-00440,ZLH-005,ZLH-037,创作合作,创作合作,创作合作,,创作合作,,,formal,25,low,"0年月一-1931年月。“冯雪峰年。丁玲_1932年(起讫时闭不详)。耶林年(起讫时间不峦)。阳翰笙年一年上半年。周_扬19; 迅、茅盾、丁玲、曹靖华、洛扬(冯雪峰)、突如(夏衍)、适夷等联名签署,祖词强调“高尔基是; 词由鲁迅、茅盾、丁玲、曹靖华、洛扬(汞雪峰)、奕如(夏衍),适夷联名签署.同年月,中苏两国",左联词典 第107页; 左联词典 第123页; 左联词典 第132页; 左联词典 第168页; 左联词典 第172页,5,SRC-0012;SRC-0013;SRC-0054;SRC-0060;SRC-0688,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00441,ZLH-005,ZLH-038,组织隶属,同属组织,同属组织,,同属组织,,,formal,60,high,"的大众文学“口号的经过回忆录。冯雪峰年月日写,1972年修改,载《新文学史料)第辑,1979年月人民文学出版社出版。叙述冯年月受中共",左联词典 第531页,1,SRC-0612,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据只能支持同属组织或共同组织关联,low,yes
